lat,lon,hdop,sats,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
22.757988,75.899995,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757976,75.899991,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757964,75.899986,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757953,75.899981,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757941,75.899977,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757929,75.899972,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757917,75.899967,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757905,75.899962,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757893,75.899958,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757881,75.899953,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757869,75.899948,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757857,75.899944,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757845,75.899939,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757833,75.899934,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757821,75.899929,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757809,75.899925,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757797,75.899920,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757785,75.899915,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757774,75.899911,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757762,75.899906,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757750,75.899901,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757738,75.899897,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757726,75.899892,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757714,75.899887,1.2,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757703,75.899883,1.0,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757691,75.899878,1.1,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757679,75.899873,1.2,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757667,75.899869,1.0,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757655,75.899864,1.1,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757644,75.899859,1.2,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757632,75.899855,1.0,12,0.1,0.2,9.8,0.01,0.02,0.00
22.757620,75.899850,1.1,13,0.1,0.2,9.8,0.01,0.02,0.00
22.757609,75.899846,1.2,10,0.1,0.2,9.8,0.01,0.02,0.00
22.757597,75.899841,1.0,11,0.1,0.2,9.8,0.01,0.02,0.00
22.757585,75.899836,1.1,12,0.1,0.2,9.8,0.01,0.02,0.00
